Gene_Name,GO_ID,Organism,GO_Name
Autophagy-related protein,GO:0000423,NCBITaxon:5786,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:54126,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:284591,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:4565,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:284591,mitophagy
Microtubule-associated proteins 1A_1B light chain 3C-like,GO:0000423,NCBITaxon:7918,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:412133,mitophagy
ThiF family protein,GO:0000423,NCBITaxon:412133,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:284591,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:412133,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:4577,mitophagy
GABA type A receptor-associated protein,GO:0000423,NCBITaxon:7918,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:412133,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:8355,mitophagy
Gamma-aminobutyric acid receptor-associated protein-like Protein,GO:0000423,NCBITaxon:7070,mitophagy
Uncharacterized LOC100175581,GO:0000423,NCBITaxon:7719,mitophagy
Microtubule-associated proteins 1A_1B light chain 3B-like,GO:0000423,NCBITaxon:7719,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:4565,mitophagy
Beclin 1-associated autophagy-related key regulator,GO:0000423,NCBITaxon:7719,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:4113,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:4113,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:4113,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:4113,mitophagy
Autophagy-related protein 8C-like,GO:0000423,NCBITaxon:4113,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9598,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4113,mitophagy
Beclin 1 protein,GO:0000423,NCBITaxon:4113,mitophagy
Uncharacterized protein LOC107782769,GO:0000423,NCBITaxon:4097,mitophagy
Atg-13,GO:0000423,NCBITaxon:54126,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4113,mitophagy
"Gamma-aminobutyric acid receptor associated protein, putative (Fragment)",GO:0000423,NCBITaxon:6945,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:164328,mitophagy
Uncharacterized protein LOC108980521 isoform X1,GO:0000423,NCBITaxon:51240,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3694,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:54126,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:164328,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3694,mitophagy
"Beclin-1, putative, expressed",GO:0000423,NCBITaxon:39947,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:4558,mitophagy
Gabarap protein,GO:0000423,NCBITaxon:10228,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:684364,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:13616,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:10228,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:13616,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:684364,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:10228,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:10228,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:684364,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:4558,mitophagy
Autophagy protein ATG17-like domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4555,mitophagy
LOC733220 protein,GO:0000423,NCBITaxon:8355,mitophagy
Microtubule-associated proteins 1A_1B light chain 3A,GO:0000423,NCBITaxon:9913,mitophagy
"Autophagy protein Apg6, putative",GO:0000423,NCBITaxon:330879,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:3659,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3659,mitophagy
Beclin-1-like protein,GO:0000423,NCBITaxon:3659,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:3659,mitophagy
Beclin 2,GO:0000423,NCBITaxon:9796,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:13616,mitophagy
Sorting nexin 7,GO:0000423,NCBITaxon:9796,mitophagy
Microtubule-associated protein 1 light chain 3 alpha,GO:0000423,NCBITaxon:9823,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3659,mitophagy
Gamma-aminobutyric acid receptor-associated protein-like 2,GO:0000423,NCBITaxon:8090,mitophagy
Autophagy-related protein 8A,GO:0000423,NCBITaxon:39947,mitophagy
RING-type domain-containing protein,GO:0000423,NCBITaxon:8090,mitophagy
Cysteine protease ATG4C,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy related 10,GO:0000423,NCBITaxon:9796,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9796,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:214684,mitophagy
(wild Malaysian banana) hypothetical protein,GO:0000423,NCBITaxon:214687,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:214687,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:330879,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4232,mitophagy
Microtubule associated protein 1 light chain 3 beta,GO:0000423,NCBITaxon:9796,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:185431,mitophagy
Protein kinase domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Protein kinase domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Microtubule associated protein 1 light chain 3 beta,GO:0000423,NCBITaxon:9796,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:3659,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:3659,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3659,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:214687,mitophagy
(wild Malaysian banana) hypothetical protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4097,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:4072,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:214687,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:4072,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:214687,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:164328,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:418459,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:81824,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:81824,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3711,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:13333,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:13333,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:418459,mitophagy
Protein kinase domain-containing protein,GO:0000423,NCBITaxon:81824,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:13333,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:6238,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:81824,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:418459,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:4072,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:81824,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:81824,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:81824,mitophagy
Autophagy-related protein 13a-like,GO:0000423,NCBITaxon:3635,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:81824,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:4558,mitophagy
Autophagy and beclin 1 regulator 1,GO:0000423,NCBITaxon:13616,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3218,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:9796,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:684364,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:684364,mitophagy
Cysteine protease ATG4D,GO:0000423,NCBITaxon:9823,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:4072,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:4558,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:3847,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4558,mitophagy
Microtubule associated protein 1 light chain 3 gamma,GO:0000423,NCBITaxon:13616,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:13616,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:4558,mitophagy
Microtubule associated protein 1 light chain 3 beta,GO:0000423,NCBITaxon:9796,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:684364,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5786,mitophagy
Gamma-aminobutyric acid receptor-associated protein,GO:0000423,NCBITaxon:9913,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Microtubule associated protein 1 light chain 3 beta,GO:0000423,NCBITaxon:13616,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:8355,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:418459,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:5786,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:418459,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:5786,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:5786,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:5786,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:418459,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:418459,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:684364,mitophagy
LPS responsive beige-like anchor protein,GO:0000423,NCBITaxon:13616,mitophagy
Microtubule-associated proteins 1A_1B light chain 3B,GO:0000423,NCBITaxon:9913,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:13333,mitophagy
Protein kinase domain-containing protein,GO:0000423,NCBITaxon:5786,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5786,mitophagy
Autophagy-related protein 9 (Fragment),GO:0000423,NCBITaxon:418459,mitophagy
PCI domain-containing protein,GO:0000423,NCBITaxon:81824,mitophagy
Adenylyltransferase and sulfurtransferase MOCS3,GO:0000423,NCBITaxon:4072,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:13333,mitophagy
Uncharacterized protein LOC104610171,GO:0000423,NCBITaxon:4432,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4232,mitophagy
ZZ-type domain-containing protein,GO:0000423,NCBITaxon:164328,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3711,mitophagy
Atg6 BARA domain-containing protein,GO:0000423,NCBITaxon:164328,mitophagy
WW domain-containing protein,GO:0000423,NCBITaxon:164328,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:164328,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:164328,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:164328,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:164328,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:164328,mitophagy
(wild Malaysian banana) hypothetical protein,GO:0000423,NCBITaxon:214687,mitophagy
(wild Malaysian banana) hypothetical protein,GO:0000423,NCBITaxon:214687,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:164328,mitophagy
Protein lgg,GO:0000423,NCBITaxon:6238,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:3880,mitophagy
GABA type A receptor associated protein like 2,GO:0000423,NCBITaxon:13616,mitophagy
Cysteine protease 1,GO:0000423,NCBITaxon:367110,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:7739,mitophagy
Sequestosome-1,GO:0000423,NCBITaxon:7668,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:4155,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:3197,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:7668,mitophagy
Gamma-aminobutyric acid receptor-associated protein-like 2,GO:0000423,NCBITaxon:7668,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:4155,mitophagy
Uncharacterized protein (Fragment),GO:0000423,NCBITaxon:4155,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:7165,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:4155,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:4155,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:7668,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3197,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:9598,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:3708,mitophagy
Ubiquitin-like-conjugating enzyme ATG10,GO:0000423,NCBITaxon:45351,mitophagy
Beclin 2,GO:0000423,NCBITaxon:9913,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9598,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:45351,mitophagy
Microtubule-associated proteins 1A_1B light chain 3A,GO:0000423,NCBITaxon:45351,mitophagy
Protein kinase domain-containing protein,GO:0000423,NCBITaxon:45351,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:45351,mitophagy
PB1 domain-containing protein,GO:0000423,NCBITaxon:45351,mitophagy
(wild Malaysian banana) hypothetical protein,GO:0000423,NCBITaxon:214687,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3708,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3708,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3694,mitophagy
Protein ZIP4 homolog,GO:0000423,NCBITaxon:3694,mitophagy
Gamma-aminobutyric acid receptor-associated protein-like 1,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:105231,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3708,mitophagy
Autophagy-related protein 5,GO:0000423,NCBITaxon:367110,mitophagy
Autophagy_act_C domain-containing protein,GO:0000423,NCBITaxon:7165,mitophagy
YALI0D23386p,GO:0000423,NCBITaxon:284591,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:4081,mitophagy
Microtubule-associated proteins 1A_1B light chain 3B,GO:0000423,NCBITaxon:8355,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:29655,mitophagy
Beclin-1-like protein,GO:0000423,NCBITaxon:2711,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:29760,mitophagy
Autophagy 10 variant 1,GO:0000423,NCBITaxon:4577,mitophagy
Autophagy 7,GO:0000423,NCBITaxon:4577,mitophagy
E3 ubiquitin-protein ligase parkin,GO:0000423,NCBITaxon:9595,mitophagy
LPS responsive beige-like anchor protein,GO:0000423,NCBITaxon:9595,mitophagy
PX domain-containing protein,GO:0000423,NCBITaxon:9595,mitophagy
Microtubule associated protein 1 light chain 3 alpha,GO:0000423,NCBITaxon:9595,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:321614,mitophagy
GABA type A receptor associated protein like 1,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3641,mitophagy
Serine_threonine-protein kinase,GO:0000423,NCBITaxon:9595,mitophagy
Beclin-1-like protein,GO:0000423,NCBITaxon:4577,mitophagy
Autophagy-related protein 13b,GO:0000423,NCBITaxon:4577,mitophagy
Autophagy related 10,GO:0000423,NCBITaxon:9685,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:9685,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:71139,mitophagy
Sorting nexin 7,GO:0000423,NCBITaxon:9544,mitophagy
Uncharacterized protein,GO:0000423,NCBITaxon:4565,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:112509,mitophagy
Beclin-1-like protein,GO:0000423,NCBITaxon:4432,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:4577,mitophagy
Predicted protein,GO:0000423,NCBITaxon:112509,mitophagy
EOG090X048D,GO:0000423,NCBITaxon:6669,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:2711,mitophagy
Beclin-1,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:2711,mitophagy
Protein kinase domain-containing protein (Fragment),GO:0000423,NCBITaxon:45351,mitophagy
Atg6_beclin coiled-coil domain-containing protein (Fragment),GO:0000423,NCBITaxon:45351,mitophagy
Autophagy-related protein 9A,GO:0000423,NCBITaxon:9913,mitophagy
Microtubule-associated proteins 1A_1B light chain 3B,GO:0000423,NCBITaxon:9544,mitophagy
Beclin 1-associated Autophagy-related key regulator isoform X1,GO:0000423,NCBITaxon:8355,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:3694,mitophagy
Autophagy-related protein 13 N-terminal domain-containing protein,GO:0000423,NCBITaxon:4113,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:9913,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9685,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3694,mitophagy
Autophagy-related protein 13,GO:0000423,NCBITaxon:237631,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9685,mitophagy
Sequestosome 1,GO:0000423,NCBITaxon:9685,mitophagy
"Chromosome undetermined scaffold_99, whole genome shotgun sequence",GO:0000423,NCBITaxon:5888,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:5888,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3988,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3988,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:5888,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:5664,mitophagy
Microtubule associated protein 1 light chain 3 beta,GO:0000423,NCBITaxon:9685,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:3988,mitophagy
Autophagy protein 5,GO:0000423,NCBITaxon:9598,mitophagy
Microtubule associated protein 1 light chain 3 beta,GO:0000423,NCBITaxon:9595,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:9595,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:45351,mitophagy
Ubiquitin-like modifier-activating enzyme ATG7,GO:0000423,NCBITaxon:9595,mitophagy
non-specific serine_threonine protein kinase,GO:0000423,NCBITaxon:13616,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3708,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:9595,mitophagy
Gamma-aminobutyric acid receptor-associated protein-like 2,GO:0000423,NCBITaxon:45351,mitophagy
Autophagy-related protein 9,GO:0000423,NCBITaxon:13616,mitophagy
Gamma-aminobutyric acid receptor-associated protein,GO:0000423,NCBITaxon:45351,mitophagy
Beclin-1,GO:0000423,NCBITaxon:45351,mitophagy
Autophagy-related protein,GO:0000423,NCBITaxon:3694,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:45351,mitophagy
Cysteine protease,GO:0000423,NCBITaxon:45351,mitophagy
Serine_threonine-protein kinase ULK3,GO:0000423,NCBITaxon:45351,mitophagy
